time,mode,numberOfThreads,width,height,maxIterations,filledFieldsInPercent
150,sequential,1,100,100,100,80
212,sequential,1,100,100,100,80
182,sequential,1,100,100,100,80
373,sequential,1,100,100,300,80
141,sequential,1,100,100,300,80
134,sequential,1,100,100,300,80
144,sequential,1,100,100,300,80
128,sequential,1,100,100,300,80
141,sequential,1,100,100,300,80
140,sequential,1,100,100,300,80
128,sequential,1,100,100,300,80
137,sequential,1,100,100,300,80
142,sequential,1,100,100,300,80
130,sequential,1,100,100,300,80
