time,mode,numberOfThreads,width,height,maxIterations,filledFieldsInPercent
4288,parallel_with_zones,4,2000,2000,10,80
2006,parallel_with_zones,4,2000,2000,10,80
4817,parallel_with_zones,4,2000,2000,10,80
24062,parallel_without_zones,4,2000,2000,10,80
23934,parallel_without_zones,4,2000,2000,10,80
23752,parallel_without_zones,8,2000,2000,10,80
22029,parallel_without_zones,8,2000,2000,10,80
6,parallel_without_zones,4,7,7,10,80
5,parallel_without_zones,4,4,4,10,80
4,parallel_without_zones,4,4,4,10,80
6,parallel_without_zones,4,4,4,10,80
10,parallel_with_zones,4,4,4,10,80
5,parallel_with_zones,4,4,4,10,80
6,parallel_with_zones,4,4,4,10,80
51,parallel_with_zones,4,100,100,10,80
307,parallel_with_zones,4,100,100,10,80
819,parallel_with_zones,4,100,100,10,80
